locality,province,stars,name
Soragna,PR,1,Locanda Stella d'Oro
QuattroCastella -Rubbianino,RE,1,Cà Matilde
Reggiolo,RE,2,Il Rigoletto
Rubiera,RE,1,Arnaldo - Clinica Gastronomica
Pennabilli,RN,1,Il Piastrino
Rimini-Miramare,RN,1,Guido
Torriana,RN,1,Il Povero Diavolo
Cortona/San Martino,AR,1,Il Falconiere (H Relais Il Falconiere)
Firenze,FI,3,Enoteca Pinchiorri
Firenze,FI,1,Il Palagio (H Four Season H Firenze)
Firenze,FI,1,Ora d'Aria
San Casciano Val di Pesa- Cerbaia,FI,1,La Tenda Rossa
Tavarnelle val di Pesa Badia a Passignano,FI,1,Osteria di Passignano
Castiglione della Pescaia- Badiola,GR,1,Trattoria Toscana – Tenuta la Badiola (H L'Andana ) 
Massa Marittima - Ghirlanda,GR,1,Bracali
Montemerano,GR,2,Caino
Porto Ercole,GR,2,Il Pellicano (H Il Pellicano)
Saturnia,GR,1,Acquacotta (H Terme di Saturnia)
Marina di Bibbona,LI,1,La Pineta
Forte dei Marmi,LU,1,Lorenzo
Forte dei Marmi,LU,1,Bistrot
Forte dei Marmi,LU,1,La Magnolia
Lucca/Marlia,LU,1,Butterfly
Viareggio,LU,1,Romano
Tirrenia-Calambrone,PI,1,Lunasia (H Green Park Resort)
Pescia,PT,1,Atman
Casole d'Elsa,SI,1,Il Colombaio
Castellina in Chianti,SI,1,Albergaccio di Castellina
Castelnuovo Berardenga,SI,1,La Bottega del „30
Chiusi,SI,1,I Salotti ( H Villa Il Patriarca)
Colle Di Val d'Elsa,SI,2,Arnolfo
Perugia,PG,1,Il Postale (H Castello di Monterone)
Baschi,TR,2,Vissan
Loreto,AN,1,Andreina
Montecarotto,AN,1,Le Busche
Senigallia- Marzocca,AN,2,Madonnina del Pescatore
Senigallia,AN,2,Uliassi
Fermo,FM,1,Emilio
Macerata,MC,1,L'Enoteca (H Le Case)
Cartoceto,PU,1,Symposium
Acuto,FR,1,Colline Ciociare
Ponza (isola di ),LT,1,Acqua Pazza
Rivodutri,RI,1,mN La Trota
Fiumicino,RM,1,Pascucci al Porticciolo
Ladispoli,RM,1,The Cesar ( H La Posta Vecchia)
Roma,RM,3,La Pergola
Roma,RM,2,Il Pagliaccio
Roma,RM,1,Metamorfosi
Roma,RM,1,Pipero al Rex
Roma,RM,1,La Terrazza (Hotel Eden)
Roma,RM,1,Agata e Romeo
Roma,RM,1,Il Convivio-Troiani
